Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18739426,"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.42,Tor,Kindle Edition,448,2016,2016,2023/01/01,2023/04/26,,,read,,,,1,0
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765391198""","=""9780765391193""",5,4.48,Tor Books,Hardcover,507,2022,2022,2023/01/01,2023/04/26,,,read,,,,1,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",3,4.19,Bloomsbury Publishing,Paperback,419,2020,2015,2023/01/01,2023/04/26,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu","Ken Liu, Cixin Liu","=""""","=""""",4,4.09,Tor Books,Hardcover,472,2014,2006,2023/01/01,2023/12/17,,,read,,,,1,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""""","=""""",4,4.42,Tor Books,Hardcover,512,2015,2008,2023/01/01,2023/12/17,,,read,,,,1,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",5,4.42,TOR,Hardcover,604,2016,2010,2023/01/01,2023/12/17,,,read,,,,1,0
43587154,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,"=""0316440884""","=""9780316440882""",4,4.09,Orbit,Paperback,500,2018,2017,2023/01/01,2023/12/17,,,read,,,,1,0
41716919,"Jade War (The Green Bone Saga, #2)",Fonda Lee,"Lee, Fonda",,"=""0316440922""","=""9780316440929""",4,4.42,Orbit,Hardcover,587,2019,2019,2023/01/01,2023/12/17,,,read,,,,1,0
51057191,"Jade Legacy (The Green Bone Saga, #3)",Fonda Lee,"Lee, Fonda",,"=""035651059X""","=""9780356510590""",4,4.64,Orbit,Paperback,713,2021,2021,2023/01/01,2023/12/17,,,read,,,,1,0
60531406,Tress of the Emerald Sea,Brandon Sanderson,"Sanderson, Brandon",Howard Lyon,"=""""","=""""",5,4.42,Dragonsteel Entertainment,Kindle Edition,483,2023,2023,2023/01/01,2023/12/17,,,read,,,,1,0
11774272,"The Killing Moon (Dreamblood, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""0356500764""","=""9780356500768""",3,3.95,Hachette Book Group,Paperback,428,2012,2012,2023/01/01,2023/12/17,,,read,,,,1,0
11774295,"The Shadowed Sun (Dreamblood, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""0356500772""","=""9780356500775""",3,4.28,Orbit,Paperback,510,2012,2012,2023/01/01,2023/12/17,,,read,,,,1,0
7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416975861""","=""9781416975861""",3,4.31,Margaret K. McElderry Books,Hardcover,479,2010,2010,2023/01/01,2023/12/17,,,read,,,,1,0
10025305,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,"Clare, Cassandra",,"=""1416975888""","=""9781416975885""",3,4.42,Margaret K. McElderry Books,Hardcover,498,2011,2011,2023/01/01,2023/12/17,,,read,,,,1,0
18335634,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,"Clare, Cassandra",,"=""1406321346""","=""9781406321340""",4,4.56,Walker Books Ltd,Paperback,567,2013,2013,2023/01/01,2023/12/17,,,read,,,,1,0
37794149,"A Memory Called Empire (Teixcalaan, #1)",Arkady Martine,"Martine, Arkady",,"=""1529001587""","=""9781529001587""",5,4.12,Tor,Paperback,462,2019,2019,2023/01/01,2023/12/17,,,read,,,,1,0
29227774,"Light Bringer (Red Rising Saga, #6)",Pierce Brown,"Brown, Pierce",,"=""1473646804""","=""9781473646803""",5,4.75,Hodder & Stoughton,Hardcover,682,2023,2023,2023/01/01,2023/12/17,,,read,,,,1,0
25841034,"The Price of Loyalty (The Historian Tales, #3)",Lance Conrad,"Conrad, Lance",,"=""""","=""9780991023066""",4,4.42,Lance Conrad,ebook,,2015,2015,2023/01/01,2023/12/17,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5,4.52,Penguin Group DAW,Hardcover,662,2007,2007,2023/01/01,2023/12/17,,,read,,,,1,0
1215032,"The Wise Man’s Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404738""","=""9780756404734""",5,4.55,DAW Books,Hardcover,994,2011,2011,2023/01/01,2023/12/17,,,read,,,,1,0
28698036,"Secret History (Mistborn, #3.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.35,"Dragonsteel, LLC",Kindle Edition,160,2016,2016,2023/01/01,2023/12/17,,,read,,,,1,0
29226553,"Dark Age (Red Rising Saga, #5)",Pierce Brown,"Brown, Pierce",,"=""0425285952""","=""9780425285954""",5,4.47,Del Rey,ebook,704,2019,2019,,2023/04/26,,,read,,,,1,0
33257757,"Iron Gold (Red Rising Saga, #4)",Pierce Brown,"Brown, Pierce",,"=""042528591X""","=""9780425285916""",5,4.23,Del Rey,Hardcover,602,2018,2018,2023/04/26,2020/12/27,,,read,,,,1,0
40622777,"Beyond the End of the World (The Other Side of the Sky, #2)",Amie Kaufman,"Kaufman, Amie",Meagan Spooner,"=""006289336X""","=""9780062893369""",0,3.92,HarperCollins,Hardcover,458,2022,2022,,2021/12/28,to-read,to-read (#5),to-read,,,,0,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",0,4.42,Bantam,Paperback,1009,2002,1998,,2021/12/25,currently-reading,currently-reading (#2),currently-reading,,,,1,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",4,4.33,Ecco,Paperback,408,2012,2011,,2021/12/25,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2021/12/25,,,read,,,,1,0
15704486,"Calamity (Reckoners, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743602""","=""9780385743600""",4,4.18,Delacorte Press,Hardcover,424,2016,2016,2021/08/01,2021/08/21,,,read,,,,1,0
15704459,"Firefight (The Reckoners, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743580""","=""9780385743587""",4,4.25,Delacorte Press,Hardcover,416,2015,2015,,2021/08/21,,,read,,,,2,0
17182126,"Steelheart (The Reckoners, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743564""","=""9780385743563""",4,4.14,Delacorte Press,Hardcover,386,2013,2013,2021/08/01,2021/08/21,,,read,,,,1,0
68427,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765350378""","=""9780765350374""",5,4.18,Tor Fantasy,Mass Market Paperback,638,2006,2005,2021/07/01,2021/07/26,,,read,,,,1,0
1268479,Warbreaker,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.30,Self-published,ebook,688,2009,2009,2021/07/01,2021/07/26,,,read,,,,1,0
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",5,4.62,Tor Books,Hardcover,1219,2020,2020,2021/07/26,2021/04/15,,,read,,,,1,0
23395680,"Illuminae (The Illuminae Files, #1)",Amie Kaufman,"Kaufman, Amie",Jay Kristoff,"=""0553499114""","=""9780553499117""",4,4.24,Knopf Books for Young Readers,Hardcover,608,2015,2015,2021/05/28,2021/06/01,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",3,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,2021/05/25,2021/05/20,,,read,,,,1,0
22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",5,4.59,Orion Children's Books,Kindle Edition,561,2016,2016,2021/04/29,2021/05/03,,,read,,,,1,0
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",4,4.48,Henry Holt & Company,Hardcover,465,2015,2015,,2021/04/15,,,read,,,,2,0
51184571,"The Memory of Babel (The Mirror Visitor Quartet, #3)",Christelle Dabos,"Dabos, Christelle",,"=""""","=""9781609455736""",5,4.21,Europa Editions,Hardcover,508,2020,2017,,2021/04/15,,,read,,,,2,0
41953346,"The ​Missing of Clairdelune (The Mirror Visitor Quartet, #2)",Christelle Dabos,"Dabos, Christelle",Hildegarde Serle,"=""160945507X""","=""9781609455071""",5,4.45,Europa Editions,Hardcover,540,2019,2015,2021/03/30,2021/04/15,,,read,,,,1,0
40969531,"A Winter's Promise (The Mirror Visitor, #1)",Christelle Dabos,"Dabos, Christelle",Hildegarde Serle,"=""1787701425""","=""9781787701427""",5,4.03,Europa Editions,Kindle Edition,446,2018,2013,2021/03/22,2021/04/15,,,read,,,,1,0
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""076532637X""","=""9780765326379""",5,4.62,Tor Books,Hardcover,1243,2017,2017,,2021/04/15,,,read,,,,2,0
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326361""","=""9780765326362""",5,4.76,Tor Books,Hardcover,1087,2014,2014,2021/02/02,2021/04/15,,,read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",5,4.66,Tor Books,Hardcover,1007,2010,2010,,2021/04/15,,,read,,,,2,0
